i,j,@l_count,@l_count_type,@m_count,@direction
40347,221796,1541,2,0,2
40350,240853,863,2,0,1
40420,204685,1717,1,0,2
41053,227816,555,3,0,2
41720,280174,2549,6,0,4
41724,217418,2582,6,0,3
41829,310274,3042,7,0,4
42043,212511,4273,5,0,3
42064,204255,158,2,0,1
42400,212062,328,3,0,2
42473,214168,2689,5,0,4
42816,185981,2844,7,0,3
50080,197731,3848,3,0,2
50081,198301,2414,2,0,1
50285,225785,3404,3,0,2
50424,50429,4775,3,0,1
50428,50425,3501,3,0,2
50433,50435,4954,5,0,4
50434,50432,4616,5,0,3
50507,201013,242,1,0,1
185965,186693,654,3,0,1
185980,42815,3457,7,0,4
186693,185965,927,3,0,2
195620,50080,3990,2,0,2
197763,200018,808,3,0,1
198816,210405,3166,5,0,3
198824,198817,3230,5,0,4
199020,204893,1189,2,0,2
199094,201734,904,1,0,2
199097,201375,238,1,0,1
199101,201739,684,1,0,2
199221,201859,228,2,0,1
199549,199595,1133,4,0,3
199595,199549,1183,4,0,4
199880,199913,1569,1,0,1
199882,199883,357,1,0,1
199883,199882,421,1,0,2
200018,197763,750,3,0,2
200083,200148,787,4,0,4
200148,200083,880,4,0,3
200219,200979,1516,2,0,2
200708,203644,402,1,0,1
200943,203855,1160,4,0,3
200979,200219,716,2,0,1
201013,50507,225,1,0,2
201316,280346,1950,2,0,2
201375,199097,207,1,0,2
201734,199094,823,1,0,1
201739,199101,618,1,0,1
201859,199221,302,2,0,2
203644,200708,587,1,0,2
203855,200943,477,4,0,4
204255,42064,470,2,0,2
204685,40420,1067,1,0,1
204695,221777,563,2,0,1
204893,199020,687,2,0,1
204905,200231,1607,2,0,1
204952,221036,847,1,0,2
205059,199920,3203,1,0,2
205214,205215,2244,4,0,3
205215,205214,1783,4,0,4
205306,213936,1513,2,0,2
208143,199943,2705,2,0,2
208400,228190,2629,7,0,3
209145,209146,877,3,0,2
209146,209145,1224,3,0,1
210728,50081,2521,3,0,1
210816,40302,1353,7,0,4
211157,211158,248,4,0,3
211158,211157,459,4,0,4
211202,214195,555,3,0,2
212062,42400,197,3,0,1
212698,310133,1868,3,0,2
212760,227771,1127,3,0,2
213723,221928,5333,4,0,3
213936,205306,846,2,0,1
214195,211202,748,3,0,1
214258,213997,2820,5,0,3
217544,217554,2285,7,0,4
217719,197594,2703,6,0,4
217837,238898,723,3,0,2
218158,217174,2481,7,0,3
218566,221992,372,3,0,1
218703,310203,2141,3,0,1
220697,220714,3242,3,0,1
221036,204952,855,1,0,1
221777,204695,797,2,0,2
221796,40347,1038,2,0,1
221992,218566,805,3,0,2
222578,222577,1553,3,0,1
225504,228197,993,3,0,2
225628,50284,2564,3,0,1
225717,227028,583,3,0,2
226140,310279,3122,7,0,3
227221,227222,2161,7,0,3
227265,225450,761,3,0,1
227816,41053,531,3,0,1
227970,225931,654,3,0,1
228197,225504,703,3,0,1
228529,206879,2787,7,0,4
228887,40214,2465,7,0,4
238032,40303,1311,7,0,3
238898,217837,548,3,0,1
239371,218852,3727,3,0,2
239390,212271,4410,5,0,4
239400,239401,5369,4,0,4
240853,40350,1477,2,0,2
280175,41721,2730,6,0,3
280346,201316,1502,2,0,1
300054,280061,2256,3,0,2
310135,212699,926,3,0,1
310225,310202,2956,3,0,2
