i,j,@l_count,@l_count_type,@m_count,@direction
40347,221796,18287,2,15825,2
40350,240853,14620,2,11475,1
40420,204685,16627,1,550,2
41018,67692,201,3,0,1
41053,227816,5680,3,0,2
41720,280174,32481,6,0,4
41724,217418,31375,6,0,3
41829,310274,33756,7,0,4
42031,225749,0,4,1100,4
42043,212511,54384,5,0,3
42064,204255,3166,2,625,1
42400,212062,3481,3,0,2
42473,214168,33722,5,0,4
42816,185981,35117,7,0,3
43468,64379,2426,3,0,2
50080,197731,36296,3,0,2
50081,198301,34749,2,0,1
50169,227267,18108,3,0,1
50211,50212,17413,3,0,2
50285,225785,28830,3,0,2
50424,50429,48167,3,0,1
50428,50425,45612,3,0,2
50433,50435,57793,5,0,4
50434,50432,56298,5,0,3
50507,201013,3037,1,0,1
64379,43468,1900,3,0,1
65756,50210,17554,3,0,1
66110,310608,357,3,0,1
67692,41018,223,3,0,2
185965,186693,7437,3,0,1
185980,42815,34118,7,0,4
186693,185965,7947,3,0,2
195620,50080,36296,2,0,2
195620,197730,0,2,445,2
197763,200018,7627,3,0,1
198300,198301,0,2,445,1
198816,210405,40385,5,0,3
198824,198817,35310,5,0,4
199020,204893,8748,2,0,2
199094,201734,12305,1,14205,2
199097,201375,2654,1,0,1
199101,201739,8654,1,11700,2
199221,201859,2501,2,0,1
199549,199595,15883,4,0,3
199595,199549,15853,4,0,4
199880,199913,25005,1,1110,1
199882,199883,6543,1,1440,1
199883,199882,7039,1,1440,2
200018,197763,7458,3,0,2
200083,200148,10997,4,5550,4
200148,200083,12754,4,5550,3
200219,200979,12881,2,1300,2
200708,203644,6639,1,1965,1
200943,203855,7987,4,1135,3
200979,200219,10379,2,1300,1
201013,50507,2293,1,0,2
201316,280346,21055,2,16575,2
201375,199097,2418,1,0,2
201734,199094,13442,1,14205,1
201739,199101,9233,1,11700,1
201859,199221,1893,2,0,2
203644,200708,6088,1,1965,2
203855,200943,6668,4,1135,4
204255,42064,3166,2,625,2
204685,40420,14750,1,550,1
204695,221777,9589,2,0,1
204871,213218,0,4,9115,3
204893,199020,9508,2,0,1
204905,200231,24664,2,4150,1
204952,221036,9429,1,11455,2
205059,199920,27261,1,1110,2
205214,205215,22618,4,2630,3
205215,205214,23667,4,2630,4
205306,213936,14659,2,16675,2
208143,199943,23202,2,4150,2
208400,228190,32180,7,0,3
209145,209146,9390,3,0,2
209146,209145,11831,3,0,1
210728,50081,34749,3,0,1
210816,40302,14665,7,0,4
211157,211158,3306,4,8260,3
211158,211157,3078,4,8260,4
211202,214195,6595,3,0,2
212062,42400,2588,3,0,1
212698,310133,15246,3,0,2
213218,204871,0,4,9115,4
213723,221928,60194,4,1945,3
213936,205306,13925,2,16675,1
214195,211202,7280,3,0,1
214258,213997,35913,5,0,3
217544,217554,25150,7,0,4
217719,197594,32138,6,0,4
217837,238898,6401,3,0,2
218158,217174,24025,7,0,3
218566,221992,4926,3,0,1
218703,310203,34210,3,0,1
220697,220714,39774,3,0,1
221036,204952,13260,1,11455,1
221777,204695,8367,2,0,2
221796,40347,16268,2,15825,1
221992,218566,5831,3,0,2
222578,222577,18849,3,0,1
222662,222663,0,4,6180,4
222681,222194,0,4,6180,3
225504,228197,8087,3,0,2
225628,50284,29967,3,0,1
225717,227028,6394,3,0,2
225749,42031,0,4,1100,3
226140,310279,31866,7,0,3
226897,226898,9198,3,0,1
227221,227222,25310,7,0,3
227265,225450,10287,3,0,1
227461,65574,18691,3,0,2
227816,41053,5936,3,0,1
227970,225931,6147,3,0,1
228197,225504,7773,3,0,1
228270,226469,9028,3,0,2
228529,206879,29924,7,0,4
228887,40214,24793,7,0,4
238032,40303,13381,7,0,3
238898,217837,5739,3,0,1
239371,218852,41204,3,0,2
239390,212271,51804,5,0,4
239400,239401,60918,4,1945,4
240853,40350,14303,2,11475,2
280175,41721,34396,6,0,3
280346,201316,22214,2,16575,1
300054,280061,18116,3,0,2
310135,212699,15088,3,0,1
310225,310202,32435,3,0,2
310608,66110,374,3,0,2
800000,800020,0,1,36400,2
800003,800004,0,1,60450,2
800004,800003,0,1,60450,1
800006,800007,0,2,51150,2
800007,800006,0,2,51150,1
800020,800000,0,1,36400,1
800021,800022,0,2,27500,2
800022,800021,0,2,27500,1
801000,801001,0,1,51495,2
801000,801029,0,1,18355,2
801001,801000,0,1,51495,1
801001,801002,0,2,71750,2
801002,801001,0,2,71750,1
801029,801000,0,1,18355,1
801029,801030,0,2,25575,2
801030,801029,0,2,25575,1
802008,802042,0,1,15650,1
802028,802029,0,2,1325,2
802029,802028,0,2,1325,1
802042,802008,0,1,15650,2
802088,802089,0,4,3500,3
802089,802088,0,4,3500,4
802097,802098,0,1,6900,1
802098,802097,0,1,6900,2
802123,802124,0,1,12900,2
802124,802123,0,1,12900,1
802133,802134,0,2,2850,2
802134,802133,0,2,2850,1
802164,802165,0,2,4450,2
802165,802164,0,2,4450,1
